name	meta_col	numerator	denominator
leaf.Ari_over_NE	group	arikara_leaf	nebraska_leaf
meristem.Ari_over_NE	group	arikara_meristem	nebraska_meristem
node.Ari_over_NE	group	arikara_node	nebraska_node
root.Ari_over_NE	group	arikara_root	nebraska_root
shoot.Ari_over_NE	group	arikara_shoot	nebraska_shoot
seedcoat.Ari_over_NE	group	arikara_seedcoat	nebraska_seedcoat
earlyBudding.Ari_over_NE	group	arikara_earlyBudding	nebraska_earlyBudding
lateBudding.Ari_over_NE	group	arikara_lateBudding	nebraska_lateBudding
