sample	group	tissue	accession	status	replicate	fq1	fq2
mandan_node_3	mandan_node	node	mandan	domesticated	3	Man-node-3_1.fq.gz	Man-node-3_2.fq.gz
mandan_shoot_1	mandan_shoot	shoot	mandan	domesticated	1	Man-shoot-1_1.fq.gz	Man-shoot-1_2.fq.gz
mandan_shoot_2	mandan_shoot	shoot	mandan	domesticated	2	Man-shoot-2_1.fq.gz	Man-shoot-2_2.fq.gz
mandan_shoot_3	mandan_shoot	shoot	mandan	domesticated	3	Man-shoot-3_1.fq.gz	Man-shoot-3_2.fq.gz
seneca_shoot_1	seneca_shoot	shoot	seneca	domesticated	1	Sen-shoot-1_1.fq.gz	Sen-shoot-1_2.fq.gz
seneca_shoot_2	seneca_shoot	shoot	seneca	domesticated	2	Sen-shoot-2_1.fq.gz	Sen-shoot-2_2.fq.gz
seneca_shoot_3	seneca_shoot	shoot	seneca	domesticated	3	Sen-shoot-3_1.fq.gz	Sen-shoot-3_2.fq.gz
nebraska_endosperm_1	nebraska_endosperm	endosperm	nebraska	wild	1	NB-LD-endosperm-1_1.fq.gz	NB-LD-endosperm-1_2.fq.gz
nebraska_endosperm_2	nebraska_endosperm	endosperm	nebraska	wild	2	NB-LD-endosperm-2_1.fq.gz	NB-LD-endosperm-2_2.fq.gz
nebraska_endosperm_3	nebraska_endosperm	endosperm	nebraska	wild	3	NB-LD-endosperm-3_1.fq.gz	NB-LD-endosperm-3_2.fq.gz
nebraska_seedcoat_1	nebraska_seedcoat	seedcoat	nebraska	wild	1	NB-LD-seedcoat-1_1.fq.gz	NB-LD-seedcoat-1_2.fq.gz
nebraska_seedcoat_2	nebraska_seedcoat	seedcoat	nebraska	wild	2	NB-LD-seedcoat-2_1.fq.gz	NB-LD-seedcoat-2_2.fq.gz
nebraska_seedcoat_3	nebraska_seedcoat	seedcoat	nebraska	wild	3	NB-LD-seedcoat-3_1.fq.gz	NB-LD-seedcoat-3_2.fq.gz
nebraska_earlyBudding_102	nebraska_earlyBudding	earlyBudding	nebraska	wild	102	NB-R1-102_1.fq.gz	NB-R1-102_2.fq.gz
nebraska_earlyBudding_114	nebraska_earlyBudding	earlyBudding	nebraska	wild	114	NB-R1-114_1.fq.gz	NB-R1-114_2.fq.gz
nebraska_earlyBudding_129	nebraska_earlyBudding	earlyBudding	nebraska	wild	129	NB-R1-129_1.fq.gz	NB-R1-129_2.fq.gz
nebraska_lateBudding_123	nebraska_lateBudding	lateBudding	nebraska	wild	123	NB-R1plus5-123_1.fq.gz	NB-R1plus5-123_2.fq.gz
nebraska_lateBudding_76	nebraska_lateBudding	lateBudding	nebraska	wild	76	NB-R1plus5-76_1.fq.gz	NB-R1plus5-76_2.fq.gz
nebraska_lateBudding_90	nebraska_lateBudding	lateBudding	nebraska	wild	90	NB-R1plus5-90_1.fq.gz	NB-R1plus5-90_2.fq.gz
nebraska_leaf_1	nebraska_leaf	leaf	nebraska	wild	1	NB-leaf-1_1.fq.gz	NB-leaf-1_2.fq.gz
nebraska_leaf_2	nebraska_leaf	leaf	nebraska	wild	2	NB-leaf-2_1.fq.gz	NB-leaf-2_2.fq.gz
nebraska_leaf_3	nebraska_leaf	leaf	nebraska	wild	3	NB-leaf-3_1.fq.gz	NB-leaf-3_2.fq.gz
nebraska_meristem_1	nebraska_meristem	meristem	nebraska	wild	1	NB-meristem-1_1.fq.gz	NB-meristem-1_2.fq.gz
nebraska_meristem_2	nebraska_meristem	meristem	nebraska	wild	2	NB-meristem-2_1.fq.gz	NB-meristem-2_2.fq.gz
nebraska_meristem_3	nebraska_meristem	meristem	nebraska	wild	3	NB-meristem-3_1.fq.gz	NB-meristem-3_2.fq.gz
nebraska_node_1	nebraska_node	node	nebraska	wild	1	NB-node-1_1.fq.gz	NB-node-1_2.fq.gz
nebraska_node_2	nebraska_node	node	nebraska	wild	2	NB-node-2_1.fq.gz	NB-node-2_2.fq.gz
nebraska_node_3	nebraska_node	node	nebraska	wild	3	NB-node-3_1.fq.gz	NB-node-3_2.fq.gz
nebraska_root_1	nebraska_root	root	nebraska	wild	1	NB-root-1_1.fq.gz	NB-root-1_2.fq.gz
nebraska_root_2	nebraska_root	root	nebraska	wild	2	NB-root-2_1.fq.gz	NB-root-2_2.fq.gz
nebraska_root_3	nebraska_root	root	nebraska	wild	3	NB-root-3_1.fq.gz	NB-root-3_2.fq.gz
nebraska_shoot_1	nebraska_shoot	shoot	nebraska	wild	1	NB-shoot-1_1.fq.gz	NB-shoot-1_2.fq.gz
nebraska_shoot_2	nebraska_shoot	shoot	nebraska	wild	2	NB-shoot-2_1.fq.gz	NB-shoot-2_2.fq.gz
nebraska_shoot_3	nebraska_shoot	shoot	nebraska	wild	3	NB-shoot-3_1.fq.gz	NB-shoot-3_2.fq.gz
arkansas_shoot_1	arkansas_shoot	shoot	arkansas	wild	1	AR-shoot-1_1.fq.gz	AR-shoot-1_2.fq.gz
arkansas_shoot_2	arkansas_shoot	shoot	arkansas	wild	2	AR-shoot-2_1.fq.gz	AR-shoot-2_2.fq.gz
arkansas_shoot_3	arkansas_shoot	shoot	arkansas	wild	3	AR-shoot-3_1.fq.gz	AR-shoot-3_2.fq.gz
tennessee_meristem_1	tennessee_meristem	meristem	tennessee	wild	1	TN-meristem-1_1.fq.gz	TN-meristem-1_2.fq.gz
tennessee_meristem_2	tennessee_meristem	meristem	tennessee	wild	2	TN-meristem-2_1.fq.gz	TN-meristem-2_2.fq.gz
tennessee_meristem_3	tennessee_meristem	meristem	tennessee	wild	3	TN-meristem-3_1.fq.gz	TN-meristem-3_2.fq.gz
tennessee_node_1	tennessee_node	node	tennessee	wild	1	TN-node-1_1.fq.gz	TN-node-1_2.fq.gz
tennessee_node_2	tennessee_node	node	tennessee	wild	2	TN-node-2_1.fq.gz	TN-node-2_2.fq.gz
tennessee_node_3	tennessee_node	node	tennessee	wild	3	TN-node-3_1.fq.gz	TN-node-3_2.fq.gz
tennessee_shoot_1	tennessee_shoot	shoot	tennessee	wild	1	TN-shoot-1_1.fq.gz	TN-shoot-1_2.fq.gz
tennessee_shoot_2	tennessee_shoot	shoot	tennessee	wild	2	TN-shoot-2_1.fq.gz	TN-shoot-2_2.fq.gz
tennessee_shoot_3	tennessee_shoot	shoot	tennessee	wild	3	TN-shoot-3_1.fq.gz	TN-shoot-3_2.fq.gz
kentucky_shoot_1	kentucky_shoot	shoot	kentucky	wild	1	KY-shoot-1_1.fq.gz	KY-shoot-1_2.fq.gz
kentucky_shoot_2	kentucky_shoot	shoot	kentucky	wild	2	KY-shoot-2_1.fq.gz	KY-shoot-2_2.fq.gz
kentucky_shoot_3	kentucky_shoot	shoot	kentucky	wild	3	KY-shoot-3_1.fq.gz	KY-shoot-3_2.fq.gz
missouri_shoot_1	missouri_shoot	shoot	missouri	wild	1	MO-shoot-1_1.fq.gz	MO-shoot-1_2.fq.gz
missouri_shoot_2	missouri_shoot	shoot	missouri	wild	2	MO-shoot-2_1.fq.gz	MO-shoot-2_2.fq.gz
missouri_shoot_3	missouri_shoot	shoot	missouri	wild	3	MO-shoot-3_1.fq.gz	MO-shoot-3_2.fq.gz
